ID,X,Y
134,108849.27302,483772.970854001
135,108849.77606,483772.940592001
136,108850.2791,483772.910330001
137,108850.78214,483772.880068001
138,108851.28518,483772.849806001
139,108851.78822,483772.819544001
140,108852.29126,483772.789282001
141,108852.7943,483772.759020001
142,108853.29734,483772.728758001
143,108853.80038,483772.698496001
144,108854.30342,483772.668234001
145,108854.80646,483772.637972001
146,108855.3095,483772.607710001
147,108855.81254,483772.577448001
148,108856.31558,483772.547186001
149,108856.81862,483772.516924001
150,108857.32166,483772.486662001
151,108857.8247,483772.456400001
152,108858.32774,483772.426138001
153,108858.83078,483772.395876001
154,108859.33382,483772.365614001
155,108859.83686,483772.335352001
156,108860.3399,483772.305090001
157,108860.84294,483772.274828001
158,108861.34598,483772.244566001
159,108861.84902,483772.214304001
160,108862.35206,483772.184042001
161,108862.8551,483772.153780001
162,108863.35814,483772.123518001
163,108863.86118,483772.093256001
164,108864.36422,483772.062994001
165,108864.86726,483772.032732001
166,108865.3703,483772.002470001
167,108865.87334,483771.972208001
168,108866.37638,483771.941946001
169,108866.87942,483771.911684001
170,108867.38246,483771.881422001
171,108867.8855,483771.851160001
172,108868.38854,483771.820898001
173,108868.89158,483771.790636001
174,108869.39462,483771.760374001
175,108869.89766,483771.730112001
176,108870.4007,483771.699850001
177,108870.90374,483771.669588001
178,108871.40678,483771.639326001
179,108871.90982,483771.609064001
180,108872.41286,483771.578802001
181,108872.9159,483771.548540001
182,108873.41894,483771.518278001
183,108873.92198,483771.488016001
184,108874.42502,483771.457754001
185,108874.92806,483771.427492001
186,108875.4311,483771.397230001
187,108875.93414,483771.366968001
188,108876.43718,483771.336706001
189,108876.94022,483771.306444001
190,108877.44326,483771.276182001
191,108877.9463,483771.245920001
192,108878.44934,483771.215658001
193,108878.95238,483771.185396001
194,108879.45542,483771.155134001
195,108879.95846,483771.124872001
196,108880.4615,483771.094610001
197,108880.96454,483771.064348001
198,108881.46758,483771.034086001
199,108881.97062,483771.003824001
200,108882.47366,483770.973562001
201,108882.9767,483770.943300001









































































































































































































































































































































































































































































































































































































































































































