ID,X,Y
125,99635.1966291457,444804.100429648
126,99635.1556180905,444804.19218392
127,99635.1146070352,444804.283938191
128,99635.0735959799,444804.375692462
129,99635.0325849246,444804.467446734
130,99634.9915738694,444804.559201005
131,99634.9505628141,444804.650955276
132,99634.9095517588,444804.742709548
133,99634.8685407035,444804.834463819
134,99634.8275296482,444804.92621809
135,99634.786518593,444805.017972362
136,99634.7455075377,444805.109726633
137,99634.7044964824,444805.201480905
138,99634.6634854271,444805.293235176
139,99634.6224743719,444805.384989447
140,99634.5814633166,444805.476743719
141,99634.5404522613,444805.56849799
142,99634.499441206,444805.660252261
143,99634.4584301508,444805.752006533
144,99634.4174190955,444805.843760804
145,99634.3764080402,444805.935515075
146,99634.3353969849,444806.027269347
147,99634.2943859297,444806.119023618
148,99634.2533748744,444806.210777889
149,99634.2123638191,444806.302532161
150,99634.1713527638,444806.394286432
151,99634.1303417085,444806.486040704
152,99634.0893306533,444806.577794975
153,99634.048319598,444806.669549246
154,99634.0073085427,444806.761303518
155,99633.9662974874,444806.853057789
156,99633.9252864322,444806.94481206
157,99633.8842753769,444807.036566332
158,99633.8432643216,444807.128320603
159,99633.8022532663,444807.220074874
160,99633.7612422111,444807.311829146
161,99633.7202311558,444807.403583417
162,99633.6792201005,444807.495337688
163,99633.6382090452,444807.58709196
164,99633.5971979899,444807.678846231
165,99633.5561869347,444807.770600503
166,99633.5151758794,444807.862354774
167,99633.4741648241,444807.954109045
168,99633.4331537689,444808.045863317
169,99633.3921427136,444808.137617588
170,99633.3511316583,444808.229371859
171,99633.310120603,444808.321126131
172,99633.2691095477,444808.412880402
173,99633.2280984925,444808.504634673
174,99633.1870874372,444808.596388945
175,99633.1460763819,444808.688143216
176,99633.1050653266,444808.779897487
177,99633.0640542714,444808.871651759
178,99633.0230432161,444808.96340603
179,99632.9820321608,444809.055160302
180,99632.9410211055,444809.146914573
181,99632.9000100503,444809.238668844
182,99632.858998995,444809.330423116
183,99632.8179879397,444809.422177387
184,99632.7769768844,444809.513931658
185,99632.7359658292,444809.60568593
186,99632.6949547739,444809.697440201
187,99632.6539437186,444809.789194472
188,99632.6129326633,444809.880948744
189,99632.571921608,444809.972703015
190,99632.5309105528,444810.064457286
191,99632.4898994975,444810.156211558
192,99632.4488884422,444810.247965829
193,99632.4078773869,444810.339720101
194,99632.3668663317,444810.431474372
195,99632.3258552764,444810.523228643
196,99632.2848442211,444810.614982915
197,99632.2438331658,444810.706737186
198,99632.2028221106,444810.798491457
199,99632.1618110553,444810.890245729
200,99632.1208,444810.982










































































































































































































































































































































































































































































































































































































































































































